rack_type,rack_spaces,Comments,Latitude,Longitude,x,y
Lightning Bolt Rack,16,,38.535358,-121.75787735,6630928.305525839,1956878.2145140022
Lightning Bolt Rack,32,,38.54010326,-121.75065419,6632989.702977836,1958611.9243011773
Lightning Bolt Rack,78,,38.53522546,-121.75809025,6630867.534978092,1956829.7871174216
Lightning Bolt Rack,34,,38.53993145,-121.7501749,6633126.965498596,1958549.7311840951
Lightning Bolt Rack,58,,38.53535285,-121.75810612,6630862.871273503,1956876.1646493375
Lightning Bolt Rack,24,,38.53991484,-121.7501227,6633141.91067867,1958543.7216816694
Coat Hanger Rack,14,,38.5399062,-121.75018466,6633124.197787598,1958540.5277904272
Lightning Bolt Rack,8,,38.53989803,-121.7502417,6633107.891717836,1958537.5090956688
Lightning Bolt Rack,200,,38.53487831,-121.75808094,6630870.535628259,1956703.3670946658
Lightning Bolt Rack,32,,38.53986845,-121.75017362,6633127.392335013,1958526.787332341
Coat Hanger Rack,28,,38.53980094,-121.75017668,6633126.586890429,1958502.199455008
Lightning Bolt Rack,129,,38.5349914,-121.7584386,6630768.117854089,1956744.2794144154
Lightning Bolt Rack,8,,38.53979623,-121.75021388,6633115.950100675,1958500.4556920826
Lightning Bolt Rack,8,,38.53974422,-121.7502075,6633117.827393502,1958481.521018669
Lightning Bolt Rack,162,,38.53479397,-121.75844126,6630767.548301429,1956672.3792957515
Coat Hanger Rack,14,,38.53974243,-121.75017277,6633127.76372534,1958480.8947075903
Lightning Bolt Rack,8,,38.53974152,-121.75012059,6633142.689876586,1958480.6053380817
Lightning Bolt Rack,110,,38.5348901,-121.75772145,6630973.354976431,1956707.9356550872
Lightning Bolt Rack,146,,38.53961163,-121.75014543,6633135.714168757,1958433.2816138417
Lightning Bolt Rack,8,,38.53475898,-121.75740301,6631064.570345178,1956660.4288603365
Lightning Bolt Rack,49,,38.53502597,-121.7574292,6631056.817407921,1956757.637655422
Lightning Bolt Rack,26,,38.53596486,-121.75739956,6631064.383009598,1957099.584806174
Lightning Bolt Rack,52,,38.53610414,-121.75721345,6631117.484281346,1957150.4501900077
Lightning Bolt Rack,35,,38.53635241,-121.75720193,6631120.536112502,1957240.8732375056
Coat Hanger Rack,36,,38.54034468,-121.74928284,6633381.700553417,1958700.9247793406
Lightning Bolt Rack,80,,38.54027489,-121.74827416,6633670.276747927,1958676.305734083
Lightning Bolt Rack,45,,38.53607959,-121.75808838,6630867.242983922,1957140.8419415057
Lightning Bolt Rack,108,,38.54031664,-121.74802082,6633742.696878672,1958691.708590418
Coat Hanger Rack,40,,38.53568137,-121.75906376,6630588.628055587,1956995.0797658414
Coat Hanger Rack,84,,38.54046798,-121.74804577,6633735.406867012,1958746.804280758
Lightning Bolt Rack,18,,38.53552423,-121.75905861,6630590.25272426,1956937.8567831665
Lightning Bolt Rack,5,,38.54062937,-121.7477078,6633831.913235679,1958805.847469762
Lightning Bolt Rack,74,,38.54013621,-121.74798437,6633753.304797083,1958626.0289317518
Lightning Bolt Rack,25,,38.54052292,-121.74744353,6633907.60796617,1958767.290132165
Lightning Bolt Rack,5,,38.54069328,-121.74729275,6633950.559980005,1958829.451097086
Lightning Bolt Rack,5,,38.54060798,-121.7472186,6633971.855213001,1958798.4472220838
Lightning Bolt Rack,5,,38.54071564,-121.74685224,6634076.532825172,1958837.9445184171
Lightning Bolt Rack,5,,38.54034411,-121.74654103,6634165.925034836,1958702.8899985105
Lightning Bolt Rack,47,,38.5381085,-121.76030483,6630231.297405422,1957878.048144251
Varsity Rack,40,Varsity lock,38.54018415,-121.74720643,6633975.765966341,1958644.1079638451
Playground Rack,6,,38.53939428,-121.74650962,6634175.873505756,1958357.010112837
Coat Hanger Rack,28,,38.53895002,-121.74766089,6633847.026394427,1958194.3021049201
Lightning Bolt Rack,33,,38.53918248,-121.74767738,6633842.075288847,1958278.9472768456
Lightning Bolt Rack,50,,38.53931713,-121.74793292,6633768.848401174,1958327.7808405906
Lightning Bolt Rack,16,,38.54028469,-121.75032997,6633082.255942345,1958678.2499559224
Lightning Bolt Rack,16,,38.54023655,-121.75060453,6633003.773159668,1958660.5049126744
Lightning Bolt Rack,24,,38.54087576,-121.74820355,6633689.86857225,1958895.1832490861
Lightning Bolt Rack,50,,38.5411451,-121.75133162,6632794.902514428,1958990.8077297509
Lightning Bolt Rack,30,,38.5411159,-121.75120483,6632831.197061256,1958980.2752705067
Lightning Bolt Rack,25,,38.5411909,-121.75102225,6632883.34361051,1959007.7292838395
Coat Hanger Rack,14,,38.54119636,-121.75094377,6632905.786150917,1959009.7817731649
Lightning Bolt Rack,56,,38.54114357,-121.75064997,6632989.870628417,1958990.78542009
Lightning Bolt Rack,5,,38.54145783,-121.74658399,6634152.505770341,1959108.4475863427
Lightning Bolt Rack,5,,38.54131976,-121.74663184,6634138.961178005,1959058.127805084
Lightning Bolt Rack,24,,38.54189616,-121.75062645,6632995.846010178,1959264.8813285828
Lightning Bolt Rack,5,,38.54127703,-121.74663822,6634137.178045094,1959042.5618913323
Lightning Bolt Rack,8,,38.54207563,-121.7506681,6632983.754498929,1959330.2073134184
Lightning Bolt Rack,24,,38.54213797,-121.75068582,6632978.623603672,1959352.8969005942
Lightning Bolt Rack,5,,38.54107427,-121.74713091,6633996.464743838,1958968.3291001767
Lightning Bolt Rack,6,,38.54106258,-121.747189,6633979.862742931,1958964.0246468335
Lightning Bolt Rack,20,,38.54228935,-121.7507288,6632966.181043252,1959407.9912785888
Lightning Bolt Rack,6,,38.5410819,-121.74723409,6633966.945117846,1958971.0249609202
Lightning Bolt Rack,4,,38.54104271,-121.74762016,6633856.560496092,1958956.4475622624
Lightning Bolt Rack,23,,38.54166935,-121.75238509,6632493.070769012,1959180.9061028361
Lightning Bolt Rack,56,,38.54158787,-121.75254122,6632448.495398834,1959151.1112149209
Lightning Bolt Rack,5,,38.54212477,-121.74832961,6633652.553358167,1959349.9484156668
Coat Hanger Rack,12,,38.54208932,-121.74824403,6633677.066104427,1959337.1039531678
